246.370	39.081	-3.508	1.223	0.860	0.670	0.010	0	1	F200
246.615	39.024	-3.689	1.787	0.950	0.670	0.080	0	1	F220
247.163	39.317	-1.928	2.270	0.930	0.660	0.010	0	1	F270
241.849	39.227	-2.747	3.439	0.580	0.590	-0.010	0	1	F279
247.454	39.367	-1.581	2.311	1.030	0.740	0.040	0	1	F280
246.333	38.795	-2.521	1.685	0.530	0.480	-0.030	0	1	F300
240.797	39.944	-5.140	4.837	0.420	0.410	0.050	0	1	FLRN
247.849	39.602	-3.277	1.964	0.820	0.690	-0.070	0	1	G101
247.758	39.140	-2.374	1.350	0.840	0.590	0.010	0	1	G200
247.406	38.602	-3.083	1.403	0.530	0.480	0.010	0	1	G300
242.528	40.941	-2.120	2.736	0.850	0.930	-0.140	0	1	GOLC
240.519	42.016	-3.553	3.975	0.850	0.990	0.010	0	1	GUAN
248.980	39.293	-0.617	1.176	0.500	0.480	-0.060	0	1	H100
239.823	38.633	-9.520	10.970	0.730	0.770	-0.100	0	1	H112
238.260	40.875	-7.806	8.408	0.960	0.850	-0.030	0	1	HHTT
238.494	42.249	-1.005	7.313	0.840	0.950	-0.050	0	1	HILD
238.726	41.478	-3.840	4.678	0.400	0.400	0.040	0	1	HLNB
239.070	44.256	0.722	5.157	0.750	0.840	0.010	0	1	HSTN
237.504	42.154	-0.813	8.015	1.080	1.110	0.000	0	1	HYAT
238.170	42.868	-0.994	7.014	0.850	0.980	-0.080	0	1	J789
239.360	43.288	-0.657	4.829	0.850	1.000	0.010	0	1	L091
241.773	38.532	-3.064	5.404	0.590	0.600	0.000	0	1	LIZZ
241.439	40.072	-5.487	4.226	0.620	0.630	0.060	0	1	LOLA
242.357	40.027	-3.774	2.357	0.600	0.620	-0.010	0	1	LOWE
238.474	41.720	-5.196	6.844	0.500	0.470	-0.090	0	1	M504
239.584	44.397	1.053	5.174	1.030	1.310	0.130	0	1	M753
241.943	39.205	-4.047	3.624	0.580	0.600	0.000	0	1	MN54
241.717	39.396	-4.866	3.668	0.660	0.670	-0.090	0	1	MOND
245.197	41.113	-2.232	0.002	0.950	0.960	-0.200	0	1	MOOR
241.150	41.891	-1.830	4.764	0.790	0.930	0.130	0	1	N067
239.410	42.196	-2.720	4.835	0.930	0.960	-0.020	0	1	OREG
238.719	41.705	-5.312	5.759	0.420	0.430	0.140	0	1	OVRP
240.077	39.111	-9.017	8.483	0.480	0.460	-0.050	0	1	P208
242.309	41.285	-1.677	2.350	0.880	0.940	-0.140	0	1	PARA
239.930	42.212	-2.119	4.582	0.680	0.720	-0.020	0	1	PARS
239.279	42.262	-2.668	6.153	0.870	0.940	-0.020	0	1	PL20
241.964	39.036	-3.600	4.962	0.600	0.620	0.000	0	1	POST
241.297	39.995	-5.936	4.605	0.460	0.460	-0.040	0	1	RATT
238.538	41.427	-4.738	5.810	0.390	0.400	0.040	0	1	ROUN
239.961	39.791	-8.096	7.000	0.480	0.490	-0.040	0	1	SAGE
238.939	43.125	-0.949	6.694	0.550	0.550	-0.030	0	1	SILV
241.979	41.410	-1.522	4.231	0.640	0.680	0.020	0	1	SODH
238.704	41.629	-3.838	7.740	0.410	0.420	-0.020	0	1	TMBR
240.456	39.083	-5.903	6.969	0.610	0.520	0.110	0	1	V209
239.644	42.189	-3.936	5.010	0.740	0.750	-0.120	0	1	W67R
243.591	41.205	-1.791	1.246	0.640	0.680	0.000	0	1	WILO
249.229	33.395	-1.521	2.365	0.450	0.450	0.037	0	1	AZGB
248.485	32.984	-1.717	2.737	0.750	0.750	0.019	0	1	AZCL
248.077	33.492	-2.732	2.877	0.450	0.450	0.028	0	1	AZSC
243.970	34.717	-3.786	2.576	1.050	1.200	0.034	0	1	P603
243.855	35.785	-2.830	4.186	1.200	1.350	0.033	0	1	P620
242.635	35.117	-7.122	14.521	1.050	1.200	0.024	0	1	P590
242.135	33.863	-27.077	27.337	0.300	0.300	0.021	0	1	CCCS
253.913	28.662	-0.866	1.581	0.600	0.500	-0.045	0	1	CHIH
291.840	49.270	1.546	-1.110	0.500	0.600	0.000	0	1	BACO
295.440	48.380	0.336	-0.610	0.800	0.800	0.000	0	1	CHAN
293.220	50.050	1.187	-1.203	0.400	0.600	0.000	0	1	PTCA
234.703	49.752	4.681	4.671	1.200	1.200	0.000	0	1	WASH
247.883	50.665	2.137	1.202	0.100	1.100	0.000	0	1	1655
240.017	43.590	-1.039	4.507	0.300	0.350	-0.012	0	1	0047
245.650	43.647	-2.189	1.040	0.370	0.400	-0.059	0	1	008A
236.807	41.842	-1.793	10.536	0.700	0.790	-0.021	0	1	0201
238.742	41.670	-4.170	6.299	0.550	0.620	-0.015	0	1	0209
238.570	40.674	-8.021	7.172	0.680	0.740	-0.007	0	1	0219
239.633	40.799	-4.971	7.855	0.550	0.620	0.010	0	1	0220
238.569	40.271	-8.601	10.261	0.590	0.670	0.001	0	1	0223
237.603	41.425	-5.031	11.000	1.450	1.680	-0.024	0	1	02RH
244.168	41.511	-3.200	1.581	0.530	0.540	0.005	0	1	036C
246.798	43.564	-1.450	0.862	0.250	0.270	0.022	0	1	0A37
246.603	43.930	-2.725	2.897	1.240	1.300	0.017	0	1	0T7N
246.778	43.579	-1.678	0.813	0.360	0.360	0.006	0	1	0Z36
243.535	42.656	-2.226	2.489	0.360	0.370	-0.052	0	1	16EM
239.335	47.768	3.111	3.805	0.620	0.680	-0.013	0	1	1882
237.782	46.774	5.010	7.686	0.590	0.710	-0.001	0	1	1915
238.095	46.542	3.503	6.495	0.430	0.500	0.021	0	1	217U
242.020	45.406	4.034	2.680	1.160	1.440	0.002	0	1	2755
246.323	43.292	-1.792	1.048	0.360	0.370	-0.006	0	1	32FM
248.119	42.650	-2.513	0.459	0.670	0.800	0.116	0	1	3926
240.638	39.820	-6.450	5.942	0.500	0.520	-0.004	0	1	3HJH
236.549	48.124	6.326	6.043	0.570	0.790	-0.012	0	1	4Z9A
240.581	41.173	-3.548	4.147	0.600	0.650	-0.015	0	1	74LR
249.648	42.997	1.586	1.212	0.720	0.870	0.125	0	1	7ADL
245.299	41.905	-3.003	1.466	0.250	0.260	0.003	0	1	88JD
236.591	46.162	5.627	7.990	1.560	1.910	-0.044	0	1	9099
235.816	41.746	1.059	13.414	0.820	0.910	-0.060	0	1	9750
247.019	44.236	-0.461	1.124	0.420	0.440	0.002	0	1	A038
250.429	43.511	1.082	1.260	0.500	0.490	0.021	0	1	A047
238.825	43.313	-0.364	6.102	0.550	0.610	-0.034	0	1	A074
249.213	45.102	1.263	2.325	0.850	0.950	0.044	0	1	A162
236.860	48.575	4.780	6.970	0.440	0.500	0.003	0	1	A238
242.953	46.292	0.996	0.921	0.700	0.890	0.038	0	1	A46X
236.467	46.991	6.453	7.549	0.460	0.570	-0.048	0	1	A479
239.575	48.594	1.830	2.898	0.620	0.780	-0.076	0	1	A515
239.256	45.474	1.100	4.702	0.560	0.580	-0.012	0	1	A545
241.549	43.217	-1.695	3.296	0.550	0.580	-0.012	0	1	A699
247.642	42.156	-1.112	-0.723	0.680	0.810	0.108	0	1	A811
247.530	43.223	-1.770	0.455	0.290	0.290	-0.001	0	1	ABDI
237.796	48.711	4.371	5.796	0.750	0.960	-0.041	0	1	ACME
237.318	48.160	2.826	5.129	0.560	0.570	-0.001	0	1	ADHD
247.050	43.595	-1.451	0.573	0.320	0.320	-0.001	0	1	AECU
